0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:23:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/view.do?no=27 HTTP/1.1" 200 89161
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/css/view.css HTTP/1.1" 200 10516
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/js/jquery-3.6.4.js HTTP/1.1" 200 292458
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/js/view.js HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/dolphin-g4b22bff55_1920-removebg-preview.png HTTP/1.1" 200 148257
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/lama-g8860e410c_1280-removebg-preview_bw.png HTTP/1.1" 200 80918
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/diversity-ga9847333f_1280.jpg HTTP/1.1" 200 187642
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/app-g05cc8e105_640.png HTTP/1.1" 200 5163
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/ladybug-g4d07e2ff5_1280-removebg-preview.png HTTP/1.1" 200 37843
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/image_src/showAllPost/owl-g7a1ed8deb_1280-removebg-preview.png HTTP/1.1" 200 190853
0:0:0:0:0:0:0:1 - - [13/Jun/2023:10:25:22 +0900] "GET /jm_prj_w_230511/image_src/main/hd-wallpaper-g52c614daf_1920.jpg HTTP/1.1" 200 503101
